source,metaedge,target,source_global_id,target_global_id,metaedge_global_id,source_local_id,source_metanode,target_local_id,target_metanode,source_identifier,source_name,source_abbreviation,target_identifier,target_name,target_abbreviation
Compound::DB00514,CmC,Compound::DB01114,13554,14130,24,Compound_382,Compound,Compound_958,Compound,DB00514,Dextromethorphan,C,DB01114,Chlorphenamine,C
Compound::DB01412,CmC,Compound::DB01114,14355,14130,24,Compound_1183,Compound,Compound_958,Compound,DB01412,Theobromine,C,DB01114,Chlorphenamine,C
Compound::DB00316,CmC,Compound::DB01114,13371,14130,24,Compound_199,Compound,Compound_958,Compound,DB00316,Acetaminophen,C,DB01114,Chlorphenamine,C
Compound::DB00455,CmC,Compound::DB01114,13500,14130,24,Compound_328,Compound,Compound_958,Compound,DB00455,Loratadine,C,DB01114,Chlorphenamine,C
Compound::DB01050,CmC,Compound::DB01114,14069,14130,24,Compound_897,Compound,Compound_958,Compound,DB01050,Ibuprofen,C,DB01114,Chlorphenamine,C
Compound::DB00318,CmC,Compound::DB01114,13373,14130,24,Compound_201,Compound,Compound_958,Compound,DB00318,Codeine,C,DB01114,Chlorphenamine,C
Compound::DB09020,CmC,Compound::DB00742,14710,13775,24,Compound_1538,Compound,Compound_603,Compound,DB09020,Bisacodyl,C,DB00742,Mannitol,C
Compound::DB06151,CmC,Compound::DB00742,14514,13775,24,Compound_1342,Compound,Compound_603,Compound,DB06151,Acetylcysteine,C,DB00742,Mannitol,C
Compound::DB00678,CmC,Compound::DB00742,13712,13775,24,Compound_540,Compound,Compound_603,Compound,DB00678,Losartan,C,DB00742,Mannitol,C
Compound::DB00695,CmC,Compound::DB00742,13729,13775,24,Compound_557,Compound,Compound_603,Compound,DB00695,Furosemide,C,DB00742,Mannitol,C
Compound::DB00441,CmC,Compound::DB00608,13487,13643,24,Compound_315,Compound,Compound_471,Compound,DB00441,Gemcitabine,C,DB00608,Chloroquine,C
Compound::DB00762,CmC,Compound::DB00608,13795,13643,24,Compound_623,Compound,Compound_471,Compound,DB00762,Irinotecan,C,DB00608,Chloroquine,C
Compound::DB00541,CmC,Compound::DB00608,13578,13643,24,Compound_406,Compound,Compound_471,Compound,DB00541,Vincristine,C,DB00608,Chloroquine,C
Compound::DB00997,CmC,Compound::DB00608,14019,13643,24,Compound_847,Compound,Compound_471,Compound,DB00997,Doxorubicin,C,DB00608,Chloroquine,C
Compound::DB01248,CmC,Compound::DB00608,14259,13643,24,Compound_1087,Compound,Compound_471,Compound,DB01248,Docetaxel,C,DB00608,Chloroquine,C
Compound::DB00530,CmC,Compound::DB00608,13569,13643,24,Compound_397,Compound,Compound_471,Compound,DB00530,Erlotinib,C,DB00608,Chloroquine,C
Compound::DB00877,CmC,Compound::DB00608,13906,13643,24,Compound_734,Compound,Compound_471,Compound,DB00877,Sirolimus,C,DB00608,Chloroquine,C
Compound::DB00207,CmC,Compound::DB00608,13265,13643,24,Compound_93,Compound,Compound_471,Compound,DB00207,Azithromycin,C,DB00608,Chloroquine,C
