metanode,identifier,entities_local_id,entities_global_id,entities_value,name,abbreviation
Anatomy,UBERON:0000002,Anatomy_0,0,Anatomy::UBERON:0000002,uterine cervix,A
Anatomy,UBERON:0000004,Anatomy_1,1,Anatomy::UBERON:0000004,nose,A
Anatomy,UBERON:0000006,Anatomy_2,2,Anatomy::UBERON:0000006,islet of Langerhans,A
Anatomy,UBERON:0000007,Anatomy_3,3,Anatomy::UBERON:0000007,pituitary gland,A
Anatomy,UBERON:0000010,Anatomy_4,4,Anatomy::UBERON:0000010,peripheral nervous system,A
Anatomy,UBERON:0000011,Anatomy_5,5,Anatomy::UBERON:0000011,parasympathetic nervous system,A
Anatomy,UBERON:0000013,Anatomy_6,6,Anatomy::UBERON:0000013,sympathetic nervous system,A
Anatomy,UBERON:0000020,Anatomy_7,7,Anatomy::UBERON:0000020,sense organ,A
Anatomy,UBERON:0000026,Anatomy_8,8,Anatomy::UBERON:0000026,appendage,A
Anatomy,UBERON:0000029,Anatomy_9,9,Anatomy::UBERON:0000029,lymph node,A
Anatomy,UBERON:0000033,Anatomy_10,10,Anatomy::UBERON:0000033,head,A
Anatomy,UBERON:0000038,Anatomy_11,11,Anatomy::UBERON:0000038,follicular fluid,A
Anatomy,UBERON:0000042,Anatomy_12,12,Anatomy::UBERON:0000042,serous membrane,A
Anatomy,UBERON:0000043,Anatomy_13,13,Anatomy::UBERON:0000043,tendon,A
Anatomy,UBERON:0000045,Anatomy_14,14,Anatomy::UBERON:0000045,ganglion,A
Anatomy,UBERON:0000053,Anatomy_15,15,Anatomy::UBERON:0000053,macula lutea,A
Anatomy,UBERON:0000054,Anatomy_16,16,Anatomy::UBERON:0000054,macula,A
Anatomy,UBERON:0000056,Anatomy_17,17,Anatomy::UBERON:0000056,ureter,A
Anatomy,UBERON:0000057,Anatomy_18,18,Anatomy::UBERON:0000057,urethra,A
Anatomy,UBERON:0000165,Anatomy_19,19,Anatomy::UBERON:0000165,mouth,A
Anatomy,UBERON:0000178,Anatomy_20,20,Anatomy::UBERON:0000178,blood,A
Anatomy,UBERON:0000211,Anatomy_21,21,Anatomy::UBERON:0000211,ligament,A
Anatomy,UBERON:0000473,Anatomy_22,22,Anatomy::UBERON:0000473,testis,A
