source,metaedge,target,source_global_id,target_global_id,metaedge_global_id,source_local_id,source_metanode,target_local_id,target_metanode,source_identifier,source_name,source_abbreviation,target_identifier,target_name,target_abbreviation
Compound::DB00642,CmC,Compound::DB05294,13676,14505,24,Compound_504,Compound,Compound_1333,Compound,DB00642,Pemetrexed,C,DB05294,Vandetanib,C
Compound::DB00014,CmC,Compound::DB00499,13172,13542,24,Compound_0,Compound,Compound_370,Compound,DB00014,Goserelin,C,DB00499,Flutamide,C
Compound::DB00653,CmC,Compound::DB00165,13687,13224,24,Compound_515,Compound,Compound_52,Compound,DB00653,Magnesium Sulfate,C,DB00165,Pyridoxine,C
Compound::DB00627,CmC,Compound::DB00126,13662,13188,24,Compound_490,Compound,Compound_16,Compound,DB00627,Niacin,C,DB00126,Vitamin C,C
Compound::DB00624,CmC,Compound::DB06699,13659,14559,24,Compound_487,Compound,Compound_1387,Compound,DB00624,Testosterone,C,DB06699,Degarelix,C
Compound::DB00442,CmC,Compound::DB00709,13488,13742,24,Compound_316,Compound,Compound_570,Compound,DB00442,Entecavir,C,DB00709,Lamivudine,C
Compound::DB01211,CmC,Compound::DB00911,14223,13937,24,Compound_1051,Compound,Compound_765,Compound,DB01211,Clarithromycin,C,DB00911,Tinidazole,C
Compound::DB01275,CmC,Compound::DB00313,14279,13368,24,Compound_1107,Compound,Compound_196,Compound,DB01275,Hydralazine,C,DB00313,Valproic Acid,C
Compound::DB01212,CmC,Compound::DB01606,14224,14422,24,Compound_1052,Compound,Compound_1250,Compound,DB01212,Ceftriaxone,C,DB01606,Tazobactam,C
Compound::DB01262,CmC,Compound::DB00307,14271,13363,24,Compound_1099,Compound,Compound_191,Compound,DB01262,Decitabine,C,DB00307,Bexarotene,C
Compound::DB01042,CmC,Compound::DB00188,14061,13247,24,Compound_889,Compound,Compound_75,Compound,DB01042,Melphalan,C,DB00188,Bortezomib,C
Compound::DB00230,CmC,Compound::DB00465,13288,13509,24,Compound_116,Compound,Compound_337,Compound,DB00230,Pregabalin,C,DB00465,Ketorolac,C
Compound::DB00668,CmC,Compound::DB00328,13702,13383,24,Compound_530,Compound,Compound_211,Compound,DB00668,Epinephrine,C,DB00328,Indomethacin,C
Compound::DB00222,CmC,Compound::DB06292,13280,14537,24,Compound_108,Compound,Compound_1365,Compound,DB00222,Glimepiride,C,DB06292,Dapagliflozin,C
Compound::DB00296,CmC,Compound::DB00961,13352,13985,24,Compound_180,Compound,Compound_813,Compound,DB00296,Ropivacaine,C,DB00961,Mepivacaine,C
Compound::DB00324,CmC,Compound::DB00634,13379,13669,24,Compound_207,Compound,Compound_497,Compound,DB00324,Fluorometholone,C,DB00634,Sulfacetamide,C
Compound::DB01076,CmC,Compound::DB06290,14094,14536,24,Compound_922,Compound,Compound_1364,Compound,DB01076,Atorvastatin,C,DB06290,SIMEPREVIR,C
Compound::DB01002,CmC,Compound::DB00297,14024,13353,24,Compound_852,Compound,Compound_181,Compound,DB01002,Levobupivacaine,C,DB00297,Bupivacaine,C
Compound::DB01229,CmC,Compound::DB00997,14241,14019,24,Compound_1069,Compound,Compound_847,Compound,DB01229,Paclitaxel,C,DB00997,Doxorubicin,C
Compound::DB00203,CmC,Compound::DB01088,13261,14105,24,Compound_89,Compound,Compound_933,Compound,DB00203,Sildenafil,C,DB01088,Iloprost,C
Compound::DB00860,CmC,Compound::DB01044,13889,14063,24,Compound_717,Compound,Compound_891,Compound,DB00860,Prednisolone,C,DB01044,Gatifloxacin,C
Compound::DB00448,CmC,Compound::DB00945,13493,13969,24,Compound_321,Compound,Compound_797,Compound,DB00448,Lansoprazole,C,DB00945,Acetylsalicylic acid,C
Compound::DB01394,CmC,Compound::DB00806,14340,13837,24,Compound_1168,Compound,Compound_665,Compound,DB01394,Colchicine,C,DB00806,Pentoxifylline,C
Compound::DB00704,CmC,Compound::DB00457,13737,13502,24,Compound_565,Compound,Compound_330,Compound,DB00704,Naltrexone,C,DB00457,Prazosin,C
Compound::DB00722,CmC,Compound::DB00999,13755,14021,24,Compound_583,Compound,Compound_849,Compound,DB00722,Lisinopril,C,DB00999,Hydrochlorothiazide,C
Compound::DB00860,CmC,Compound::DB00540,13889,13577,24,Compound_717,Compound,Compound_405,Compound,DB00860,Prednisolone,C,DB00540,Nortriptyline,C
Compound::DB01229,CmC,Compound::DB00877,14241,13906,24,Compound_1069,Compound,Compound_734,Compound,DB01229,Paclitaxel,C,DB00877,Sirolimus,C
Compound::DB00876,CmC,Compound::DB00999,13905,14021,24,Compound_733,Compound,Compound_849,Compound,DB00876,Eprosartan,C,DB00999,Hydrochlorothiazide,C
Compound::DB00916,CmC,Compound::DB00993,13942,14015,24,Compound_770,Compound,Compound_843,Compound,DB00916,Metronidazole,C,DB00993,Azathioprine,C
Compound::DB01184,CmC,Compound::DB00448,14197,13493,24,Compound_1025,Compound,Compound_321,Compound,DB01184,Domperidone,C,DB00448,Lansoprazole,C
Compound::DB00441,CmC,Compound::DB08911,13487,14663,24,Compound_315,Compound,Compound_1491,Compound,DB00441,Gemcitabine,C,DB08911,Trametinib,C
Compound::DB00755,CmC,Compound::DB02546,13788,14448,24,Compound_616,Compound,Compound_1276,Compound,DB00755,Tretinoin,C,DB02546,Vorinostat,C
Compound::DB01222,CmC,Compound::DB01001,14234,14023,24,Compound_1062,Compound,Compound_851,Compound,DB01222,Budesonide,C,DB01001,Salbutamol,C
Compound::DB00823,CmC,Compound::DB01357,13854,14323,24,Compound_682,Compound,Compound_1151,Compound,DB00823,Ethynodiol,C,DB01357,Mestranol,C
Compound::DB00745,CmC,Compound::DB00402,13778,13451,24,Compound_606,Compound,Compound_279,Compound,DB00745,Modafinil,C,DB00402,Eszopiclone,C
Compound::DB01275,CmC,Compound::DB00206,14279,13264,24,Compound_1107,Compound,Compound_92,Compound,DB01275,Hydralazine,C,DB00206,Reserpine,C
Compound::DB00633,CmC,Compound::DB01236,13668,14247,24,Compound_496,Compound,Compound_1075,Compound,DB00633,Dexmedetomidine,C,DB01236,Sevoflurane,C
Compound::DB00503,CmC,Compound::DB00945,13546,13969,24,Compound_374,Compound,Compound_797,Compound,DB00503,Ritonavir,C,DB00945,Acetylsalicylic acid,C
Compound::DB00623,CmC,Compound::DB00726,13658,13759,24,Compound_486,Compound,Compound_587,Compound,DB00623,Fluphenazine,C,DB00726,Trimipramine,C
Compound::DB00904,CmC,Compound::DB01233,13930,14244,24,Compound_758,Compound,Compound_1072,Compound,DB00904,Ondansetron,C,DB01233,Metoclopramide,C
Compound::DB00753,CmC,Compound::DB00813,13786,13844,24,Compound_614,Compound,Compound_672,Compound,DB00753,Isoflurane,C,DB00813,Fentanyl,C
Compound::DB01006,CmC,Compound::DB04868,14028,14478,24,Compound_856,Compound,Compound_1306,Compound,DB01006,Letrozole,C,DB04868,Nilotinib,C
Compound::DB00929,CmC,Compound::DB00951,13954,13975,24,Compound_782,Compound,Compound_803,Compound,DB00929,Misoprostol,C,DB00951,Isoniazid,C
Compound::DB00884,CmC,Compound::DB00169,13913,13228,24,Compound_741,Compound,Compound_56,Compound,DB00884,Risedronate,C,DB00169,Cholecalciferol,C
Compound::DB00633,CmC,Compound::DB00477,13668,13520,24,Compound_496,Compound,Compound_348,Compound,DB00633,Dexmedetomidine,C,DB00477,Chlorpromazine,C
Compound::DB00741,CmC,Compound::DB01392,13774,14338,24,Compound_602,Compound,Compound_1166,Compound,DB00741,Hydrocortisone,C,DB01392,Yohimbine,C
Compound::DB00526,CmC,Compound::DB01101,13565,14118,24,Compound_393,Compound,Compound_946,Compound,DB00526,Oxaliplatin,C,DB01101,Capecitabine,C
Compound::DB00977,CmC,Compound::DB00957,13999,13981,24,Compound_827,Compound,Compound_809,Compound,DB00977,Ethinyl Estradiol,C,DB00957,Norgestimate,C
Compound::DB00808,CmC,Compound::DB00790,13839,13821,24,Compound_667,Compound,Compound_649,Compound,DB00808,Indapamide,C,DB00790,Perindopril,C
Compound::DB01189,CmC,Compound::DB00899,14201,13926,24,Compound_1029,Compound,Compound_754,Compound,DB01189,Desflurane,C,DB00899,Remifentanil,C
Compound::DB01128,CmC,Compound::DB05294,14144,14505,24,Compound_972,Compound,Compound_1333,Compound,DB01128,Bicalutamide,C,DB05294,Vandetanib,C
Compound::DB00877,CmC,Compound::DB00995,13906,14017,24,Compound_734,Compound,Compound_845,Compound,DB00877,Sirolimus,C,DB00995,Auranofin,C
Compound::DB00991,CmC,Compound::DB02300,14013,14447,24,Compound_841,Compound,Compound_1275,Compound,DB00991,Oxaprozin,C,DB02300,Calcipotriol,C
Compound::DB00227,CmC,Compound::DB00627,13285,13662,24,Compound_113,Compound,Compound_490,Compound,DB00227,Lovastatin,C,DB00627,Niacin,C
Compound::DB00683,CmC,Compound::DB00950,13717,13974,24,Compound_545,Compound,Compound_802,Compound,DB00683,Midazolam,C,DB00950,Fexofenadine,C
Compound::DB04786,CmC,Compound::DB00544,14463,13581,24,Compound_1291,Compound,Compound_409,Compound,DB04786,Suramin,C,DB00544,Fluorouracil,C
Compound::DB00331,CmC,Compound::DB00176,13385,13235,24,Compound_213,Compound,Compound_63,Compound,DB00331,Metformin,C,DB00176,Fluvoxamine,C
Compound::DB00741,CmC,Compound::DB00602,13774,13637,24,Compound_602,Compound,Compound_465,Compound,DB00741,Hydrocortisone,C,DB00602,Ivermectin,C
Compound::DB01234,CmC,Compound::DB00877,14245,13906,24,Compound_1073,Compound,Compound_734,Compound,DB01234,Dexamethasone,C,DB00877,Sirolimus,C
Compound::DB01064,CmC,Compound::DB00640,14082,13674,24,Compound_910,Compound,Compound_502,Compound,DB01064,Isoprenaline,C,DB00640,Adenosine,C
Compound::DB01234,CmC,Compound::DB00316,14245,13371,24,Compound_1073,Compound,Compound_199,Compound,DB01234,Dexamethasone,C,DB00316,Acetaminophen,C
Compound::DB00410,CmC,Compound::DB00878,13459,13907,24,Compound_287,Compound,Compound_735,Compound,DB00410,Mupirocin,C,DB00878,Chlorhexidine,C
Compound::DB01029,CmC,Compound::DB00254,14050,13311,24,Compound_878,Compound,Compound_139,Compound,DB01029,Irbesartan,C,DB00254,Doxycycline,C
Compound::DB00317,CmC,Compound::DB00482,13372,13525,24,Compound_200,Compound,Compound_353,Compound,DB00317,Gefitinib,C,DB00482,Celecoxib,C
Compound::DB00475,CmC,Compound::DB00771,13518,13803,24,Compound_346,Compound,Compound_631,Compound,DB00475,Chlordiazepoxide,C,DB00771,Clidinium,C
Compound::DB01591,CmC,Compound::DB08893,14408,14652,24,Compound_1236,Compound,Compound_1480,Compound,DB01591,Solifenacin,C,DB08893,Mirabegron,C
Compound::DB00959,CmC,Compound::DB01050,13983,14069,24,Compound_811,Compound,Compound_897,Compound,DB00959,Methylprednisolone,C,DB01050,Ibuprofen,C
Compound::DB00857,CmC,Compound::DB00982,13886,14004,24,Compound_714,Compound,Compound_832,Compound,DB00857,Terbinafine,C,DB00982,Isotretinoin,C
Compound::DB08868,CmC,Compound::DB00472,14641,13515,24,Compound_1469,Compound,Compound_343,Compound,DB08868,Fingolimod,C,DB00472,Fluoxetine,C
Compound::DB00363,CmC,Compound::DB00260,13416,13317,24,Compound_244,Compound,Compound_145,Compound,DB00363,Clozapine,C,DB00260,Cycloserine,C
Compound::DB00671,CmC,Compound::DB00218,13705,13276,24,Compound_533,Compound,Compound_104,Compound,DB00671,Cefixime,C,DB00218,Moxifloxacin,C
Compound::DB06707,CmC,Compound::DB00961,14567,13985,24,Compound_1395,Compound,Compound_813,Compound,DB06707,Levonordefrin,C,DB00961,Mepivacaine,C
Compound::DB00385,CmC,Compound::DB00209,13435,13267,24,Compound_263,Compound,Compound_95,Compound,DB00385,Valrubicin,C,DB00209,Trospium,C
Compound::DB00394,CmC,Compound::DB00983,13443,14005,24,Compound_271,Compound,Compound_833,Compound,DB00394,Beclomethasone,C,DB00983,Formoterol,C
Compound::DB00368,CmC,Compound::DB00388,13420,13437,24,Compound_248,Compound,Compound_265,Compound,DB00368,Norepinephrine,C,DB00388,Phenylephrine,C
Compound::DB01229,CmC,Compound::DB04868,14241,14478,24,Compound_1069,Compound,Compound_1306,Compound,DB01229,Paclitaxel,C,DB04868,Nilotinib,C
Compound::DB01012,CmC,Compound::DB00630,14034,13665,24,Compound_862,Compound,Compound_493,Compound,DB01012,Cinacalcet,C,DB00630,Alendronate,C
Compound::DB00317,CmC,Compound::DB01590,13372,14407,24,Compound_200,Compound,Compound_1235,Compound,DB00317,Gefitinib,C,DB01590,Everolimus,C
Compound::DB01156,CmC,Compound::DB01175,14170,14188,24,Compound_998,Compound,Compound_1016,Compound,DB01156,Bupropion,C,DB01175,Escitalopram,C
Compound::DB00471,CmC,Compound::DB00950,13514,13974,24,Compound_342,Compound,Compound_802,Compound,DB00471,Montelukast,C,DB00950,Fexofenadine,C
Compound::DB00810,CmC,Compound::DB00201,13841,13259,24,Compound_669,Compound,Compound_87,Compound,DB00810,Biperiden,C,DB00201,Caffeine,C
Compound::DB05039,CmC,Compound::DB01409,14497,14352,24,Compound_1325,Compound,Compound_1180,Compound,DB05039,Indacaterol,C,DB01409,Tiotropium,C
Compound::DB00916,CmC,Compound::DB00254,13942,13311,24,Compound_770,Compound,Compound_139,Compound,DB00916,Metronidazole,C,DB00254,Doxycycline,C
Compound::DB01234,CmC,Compound::DB00412,14245,13461,24,Compound_1073,Compound,Compound_289,Compound,DB01234,Dexamethasone,C,DB00412,Rosiglitazone,C
Compound::DB01015,CmC,Compound::DB00440,14037,13486,24,Compound_865,Compound,Compound_314,Compound,DB01015,Sulfamethoxazole,C,DB00440,Trimethoprim,C
Compound::DB00361,CmC,Compound::DB06589,13414,14542,24,Compound_242,Compound,Compound_1370,Compound,DB00361,Vinorelbine,C,DB06589,Pazopanib,C
Compound::DB01045,CmC,Compound::DB08893,14064,14652,24,Compound_892,Compound,Compound_1480,Compound,DB01045,Rifampicin,C,DB08893,Mirabegron,C
Compound::DB00297,CmC,Compound::DB00708,13353,13741,24,Compound_181,Compound,Compound_569,Compound,DB00297,Bupivacaine,C,DB00708,Sufentanil,C
Compound::DB01261,CmC,Compound::DB01406,14270,14349,24,Compound_1098,Compound,Compound_1177,Compound,DB01261,Sitagliptin,C,DB01406,Danazol,C
Compound::DB00627,CmC,Compound::DB00227,13662,13285,24,Compound_490,Compound,Compound_113,Compound,DB00627,Niacin,C,DB00227,Lovastatin,C
Compound::DB00526,CmC,Compound::DB00441,13565,13487,24,Compound_393,Compound,Compound_315,Compound,DB00526,Oxaliplatin,C,DB00441,Gemcitabine,C
Compound::DB00747,CmC,Compound::DB00285,13780,13341,24,Compound_608,Compound,Compound_169,Compound,DB00747,Scopolamine,C,DB00285,Venlafaxine,C
Compound::DB00658,CmC,Compound::DB01076,13692,14094,24,Compound_520,Compound,Compound_922,Compound,DB00658,Sevelamer,C,DB01076,Atorvastatin,C
Compound::DB00787,CmC,Compound::DB00741,13818,13774,24,Compound_646,Compound,Compound_602,Compound,DB00787,Aciclovir,C,DB00741,Hydrocortisone,C
Compound::DB00286,CmC,Compound::DB00783,13342,13815,24,Compound_170,Compound,Compound_643,Compound,DB00286,Conjugated Estrogens,C,DB00783,Estradiol,C
Compound::DB00975,CmC,Compound::DB00860,13997,13889,24,Compound_825,Compound,Compound_717,Compound,DB00975,Dipyridamole,C,DB00860,Prednisolone,C
Compound::DB01235,CmC,Compound::DB00190,14246,13249,24,Compound_1074,Compound,Compound_77,Compound,DB01235,L-DOPA,C,DB00190,Carbidopa,C
Compound::DB01101,CmC,Compound::DB01259,14118,14268,24,Compound_946,Compound,Compound_1096,Compound,DB01101,Capecitabine,C,DB01259,Lapatinib,C
Compound::DB00938,CmC,Compound::DB01409,13962,14352,24,Compound_790,Compound,Compound_1180,Compound,DB00938,Salmeterol,C,DB01409,Tiotropium,C
Compound::DB00811,CmC,Compound::DB00635,13842,13670,24,Compound_670,Compound,Compound_498,Compound,DB00811,Ribavirin,C,DB00635,Prednisone,C
Compound::DB01234,CmC,Compound::DB00921,14245,13947,24,Compound_1073,Compound,Compound_775,Compound,DB01234,Dexamethasone,C,DB00921,Buprenorphine,C
