	input	true_label	pred_label	pred_score
0	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP4A11|rev_CbG|Dexamethasone	1	1	0.99999964
1	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP4F2|rev_CbG|Fingolimod	0	1	0.99999964
2	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2J2|rev_CbG|Rivaroxaban	0	1	0.9999995
3	Abiraterone|CbG|CYP2D6|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2R1|rev_CbG|Cholecalciferol	0	1	0.9999995
4	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|PDXK|rev_CbG|Pyridoxine	0	1	0.9999995
5	Abiraterone|CbG|ABCC1|GpMF|primary active transmembrane transporter activity|rev_GpMF|ATP1B3|rev_CbG|Digoxin	0	1	0.9999994
6	Abiraterone|CbG|CYP3A4|GpMF|oxygen binding|rev_GpMF|CYP26A1|rev_CbG|Ketoconazole	0	1	0.9999994
7	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Valproic Acid	0	1	0.99999917
8	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Methadone	0	1	0.99999785
9	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP11B2|rev_CbG|Hydrocortisone	0	1	0.9999964
10	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|ALAS2|rev_CbG|Glycine	0	1	0.99999464
11	Abiraterone|CbG|ALB|GpMF|antioxidant activity|rev_GpMF|TPO|rev_CbG|Carbimazole	0	1	0.99999094
12	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Warfarin	0	1	0.9999888
13	Abiraterone|CbG|ALB|GpMF|oxygen binding|rev_GpMF|CYP2C18|rev_CbG|Buprenorphine	0	1	0.99997056
14	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Lansoprazole	0	1	0.9999248
15	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP11B2|rev_CbG|Spironolactone	0	1	0.9979594
16	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Verapamil	0	1	0.99775237
17	Abiraterone|CbG|CYP2D6|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Diazepam	0	1	0.9939155
18	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|GAL3ST4|GcG|LRRC8B	0	1	0.9810448
19	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Omeprazole	0	1	0.88108534
20	Abiraterone|CbG|CYP3A4|GpMF|vitamin D 24-hydroxylase activity|rev_GpMF|CYP24A1|rev_CbG|Calcipotriol	0	1	0.81654304
21	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Lidocaine	0	1	0.78822744
22	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS3ST5|GpPW|Defective B3GAT3 causes JDSSDHD	0	1	0.5577202
23	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Diphenhydramine	0	1	0.5402108
24	Abiraterone|CbG|SULT2A1|GpMF|transferase activity, transferring sulfur-containing groups|rev_GpMF|CDKAL1|rev_CdG|Mebendazole	0	0	0.38488853
25	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS6ST3|GcG|LCE1C	0	0	0.36512384
26	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C19|rev_CbG|Olanzapine	0	0	0.24830227
27	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST12|GcG|WWC3	0	0	0.16286048
28	Abiraterone|CbG|CYP2D6|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2J2|rev_CbG|Apixaban	0	0	0.14413196
29	Abiraterone|CbG|ALB|GpMF|antioxidant activity|rev_GpMF|TPO|rev_CbG|Propylthiouracil	0	0	0.11917114
30	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|GAL3ST4|GcG|TMEM59L	0	0	0.10974537
